3601138,NY-321000861075,ATMOSPHERE ACADEMY PUBLIC CHARTER SCHOOL,New York County,22 MARBLE HILL AVE,BRONX,NY,10463,,(718)696-0493,592,37,1,11,City: Large,16,Other Education Agency
3603420,NY-670201060000,ATTICA CENTRAL SCHOOL DISTRICT,Wyoming County,3338 E MAIN ST,ATTICA,NY,14011,9699,(585)591-0400,1187,125.66,3,41,Rural: Fringe,9.4,Regular School District
3603480,NY-050100010000,AUBURN CITY SCHOOL DISTRICT,Cayuga County,78 THORNTON AVE,AUBURN,NY,13021,4698,(315)255-8835,4043,325.54,7,32,Town: Distant,12.4,Regular School District
3616170,NY-090201040000,AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,Clinton County,1273 RT 9N,CLINTONVILLE,NY,12924,4214,(518)834-2845,1149,95.5,4,42,Rural: Distant,12,Regular School District
3600016,NY-491302060000,AVERILL PARK CENTRAL SCHOOL DISTRICT,Rensselaer County,146 GETTLE RD-ST 1,AVERILL PARK,NY,12018,9794,(518)674-7055,2655,190.17,5,41,Rural: Fringe,14,Regular School District
3603630,NY-570201040000,AVOCA CENTRAL SCHOOL DISTRICT,Steuben County,PO BOX G,AVOCA,NY,14809,517,(607)566-2221,380,46,1,42,Rural: Distant,8.3,Regular School District
3603660,NY-240101040000,AVON CENTRAL SCHOOL DISTRICT,Livingston County,191 CLINTON ST,AVON,NY,14414,1495,(585)226-2455,961,96.47,3,31,Town: Fringe,10,Regular School District
3603720,NY-580101030000,BABYLON UNION FREE SCHOOL DISTRICT,Suffolk County,50 RAILROAD AVE,BABYLON,NY,11702,2221,(631)893-7925,1552,144.39,3,21,Suburb: Large,10.7,Regular School District
3603810,NY-080201040000,BAINBRIDGE-GUILFORD CENTRAL SCHOOL DISTRICT,Chenango County,18 JULIAND ST,BAINBRIDGE,NY,13733,1097,(607)967-6321,793,69.2,3,42,Rural: Distant,11.5,Regular School District
3603840,NY-280210030000,BALDWIN UNION FREE SCHOOL DISTRICT,Nassau County,960 HASTINGS ST,BALDWIN,NY,11510,4798,(516)434-6000,4538,384.81,7,21,Suburb: Large,11.8,Regular School District
3603870,NY-420901060000,BALDWINSVILLE CENTRAL SCHOOL DISTRICT,Onondaga County,29 E ONEIDA ST,BALDWINSVILLE,NY,13027,2480,(315)638-6043,5411,345.24,8,21,Suburb: Large,15.7,Regular School District
3603930,NY-521301060000,BALLSTON SPA CENTRAL SCHOOL DISTRICT,Saratoga County,70 MALTA AVE,BALLSTON SPA,NY,12020,1599,(518)884-7195,4041,335.56,6,23,Suburb: Small,12,Regular School District
3603960,NY-401301040000,BARKER CENTRAL SCHOOL DISTRICT,Niagara County,1628 QUAKER RD,BARKER,NY,14012,328,(716)795-3832,719,60.25,2,42,Rural: Distant,11.9,Regular School District
3603990,NY-180300010000,BATAVIA CITY SCHOOL DISTRICT,Genesee County,260 STATE ST,BATAVIA,NY,14020,1041,(585)343-2480,2204,216.74,4,32,Town: Distant,10.2,Regular School District
3604050,NY-570302060000,BATH CENTRAL SCHOOL DISTRICT,Steuben County,25 ELLAS AVE,BATH,NY,14810,1107,(607)776-3301,1407,124,3,32,Town: Distant,11.3,Regular School District
3604080,NY-580501030000,BAY SHORE UNION FREE SCHOOL DISTRICT,Suffolk County,75 W PERKAL ST,BAY SHORE,NY,11706,6696,(631)968-1115,5881,512.57,7,21,Suburb: Large,11.5,Regular School District
3604110,NY-580505020000,BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT,Suffolk County,189 ACADEMY ST,BAYPORT,NY,11705,1799,(631)472-7860,2016,227.42,5,21,Suburb: Large,8.9,Regular School District
3604140,NY-130200010000,BEACON CITY SCHOOL DISTRICT,Dutchess County,10 EDUCATION DR,BEACON,NY,12508,3994,(845)838-6900,2731,251.6,6,21,Suburb: Large,10.9,Regular School District
3604200,NY-231301040000,BEAVER RIVER CENTRAL SCHOOL DISTRICT,Lewis County,PO BOX 179,BEAVER FALLS,NY,13305,179,(315)346-1211,814,66.45,3,42,Rural: Distant,12.2,Regular School District
3619950,NY-660102060000,BEDFORD CENTRAL SCHOOL DISTRICT,Westchester County,PO BOX 180,MOUNT KISCO,NY,10549,,(914)241-6010,3795,326.69,7,41,Rural: Fringe,11.6,Regular School District
3600965,NY-331600860918,BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL,Kings County,800 GATES AVE-4TH FL,BROOKLYN,NY,11221,2203,(718)669-7460,359,0,1,11,City: Large,†,Other Education Agency
3601029,NY-331600860971,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,Kings County,82 LEWIS AVE,BROOKLYN,NY,11206,,(718)453-1001,721,74.49,1,11,City: Large,9.7,Other Education Agency
3604290,NY-090301060000,BEEKMANTOWN CENTRAL SCHOOL DISTRICT,Clinton County,37 EAGLE WAY,WEST CHAZY,NY,12992,2562,(518)324-2999,2027,165.9,4,42,Rural: Distant,12.2,Regular School District
3601064,NY-331400861021,BEGINNING WITH CHILDREN CHARTER SCHOOL II,Kings County,215 HEYWARD ST,BROOKLYN,NY,11206,,(718)302-7700,483,47,1,11,City: Large,10.3,Other Education Agency
3604350,NY-020801040000,BELFAST CENTRAL SCHOOL DISTRICT,Allegany County,PO BOX 336,BELFAST,NY,14711,336,(585)365-2646,348,35,1,43,Rural: Remote,9.9,Regular School District
3604370,NY-220909040000,BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,Jefferson County,8372 COUNTY RT 75,ADAMS,NY,13605,2573,(315)846-5826,500,40,1,42,Rural: Distant,12.5,Regular School District
3604410,NY-280207020000,BELLMORE UNION FREE SCHOOL DISTRICT,Nassau County,580 WINTHROP AVE,BELLMORE,NY,11710,5099,(516)679-2909,1027,82,3,21,Suburb: Large,12.5,Regular School District
3619020,NY-280253070000,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,Nassau County,1260 MEADOWBROOK RD,NORTH MERRICK,NY,11566,9998,(516)992-1001,5234,465.15,5,21,Suburb: Large,11.3,Regular School District
3604530,NY-061001040000,BEMUS POINT CENTRAL SCHOOL DISTRICT,Chautauqua County,PO BOX 468,BEMUS POINT,NY,14712,468,(716)386-2375,652,64.5,2,41,Rural: Fringe,10.1,Regular School District
3604620,NY-490101040000,BERLIN CENTRAL SCHOOL DISTRICT,Rensselaer County,PO BOX 259,BERLIN,NY,12022,259,(518)658-1500,645,81.88,2,42,Rural: Distant,7.9,Regular School District
